Λήμμα,Επεξήγηση,Άρθρο
Ρεκάμο,Κέντημα,sing.N
Ρεκαμάδα,Κέντημα,sing.F
Ρεκαμάδος,Κεντητός,sing.M
Ρεκουσινιάρω,Συμβιβάζομαι,null
Ρεκούπερα,Βοηθητικοί χώροι σπιτιού.,plur.N
Ρελαντζιόν,"Αναφορά, Έκθεση.",sing.F
Ρεμέγκου,Φτερουγίζοντας,null
Ρεμέγκου (του),Έρημο,null
Ρεμέντζο,Κουπιά,sing.N
Ρεμέντιο,"Θεραπεία, φροντίδα.",sing.N
Ρεμέσο,"Καπλαμάς, λεπτό φύλο για επένδυση ξύλου.",sing.N
Ρεμενάτο,Τόξο ανοίγματος σε οικοδομή.,sing.N
Ρεμεντίω,Τακτοποιώ,null
Ρεμεντζάδος,Με κουπιά.,sing.M
Ρεμεντιάρω,Φροντίζω,null
Ρεμεσιέρης,Επιπλοποιός,sing.M
Ρεμετέρω,Αποδίδω,null
Ρεμοβέρομαι,Παραιτούμαι,null
Ρεμοβέρω,"Μετακινούμαι, αλλάζω θέση, φεύγω.",
Ρεμολιμέντο,"Υπέργηρος, καταβεβλημένος.",sing.N
Ρεμονταδούρα,"Επιδιόρθωση, Μπάλωμα.",sing.F
Ρεμονταδούρες,Δερμάτινη λουρίδα από την μέσα μεριά της σόλας χειροποίητου παπουτσιού.,plur.M
Ρεμοτσιόν,Παραιτούμαι των δικαιωμάτων μου.,sing.F
Ρεμπάλτα,"Φύλο πόρτας, ράμπα σκηνής, άνοιγμα ανδρικού παντελονιού.",sing.F
Ρεμπαρτάρω,Αναποδογυρίζω,null
Ρεμπελεύω,"Εναντιώνομαι, εξεγείρομαι.",null
Ρεμπελιό,Εξέγερση,sing.N
Ρεμπουκάρω,Σοβαντίζω.,null
Ρεμπουκάρω,"Σοβατίζω, Επιχρίω.",null
Ρεμπόμπο,"Αναστάτωση, Μπουμπουνητό, Δυνατός κρότος.",sing.N
Ρεμπότο,Ενισχυμένη φτέρνα παπουτσιού.,sing.N
Ρεμόσια,Συναλλαγματική,sing.F
Ρενοντζιάρω,"Παραιτούμαι, μεταβιβάζω.",null
Ρεντίκολο,Γελοίος,sing.N
Ρεντικολέτσα,Ρεζιλίκια,plur.N
Ρεντικότα,Επίσημο σακάκι των πλουσίων.,sing.F
Ρεοσύρει (να),Νάχει καλό τέλος.,null
Ρεουσίρω,Κατορθώνω,null
Ρεπάρο,Καταφύγιο,sing.N
Ρεπομπάρω,Αντλώ,null
Ρεποσάρω,Ξεκουράζομαι,null
Ρεπόσο,Με χαμηλό ρυθμό.,sing.N
Ρεσπετάδος,Σεβαστός,sing.M
Ρεστάρω,Μένω – εξαντλούνται τα αποθέματά μου.,null
Ρεστέλο,"Φράχτης, κάγκελο, φραγμένος χώρος.",sing.N
Ρεστελάδος,Ξαπλωμένος – Αραχτός – Κορδωμένος.,sing.M
Ρεστεύω,Καθυστερώ,null
Ρεστιμάρω,Επανεκτιμώ – Επανορθώνω.,null
Ρετιφικάρω,Επικυρώνω,null
Ρετουσάρω,Κάνω τις τελευταίες λεπτομέρειες σε μια εργασία.,null
Ρετούρα,Μπόρα,sing.F
Ρετσέτα,"Σημείωμα, συνταγή, σκονάκι μαθητή.",sing.F
Ρεφάρω,"Επιστρέφω, αναδίδω.",null
Ρεφουδάρω,"Παραιτούμαι, Εγκαταλείπω.",null
Ριάλι,Παλαιό νόμισμα.,sing.N
Ριγάνι,Ξαφνικός αέρας – Ανεμοστρόβιλος.,sing.N
Ριγέτα,Σιδερένια λάμα.,sing.F
Ριγίζω,"Η τοποθέτηση του κλαδιού ενός δένδρου μέσα στο χώμα, χωρίς να κοπεί από το δένδρο, προκειμένου να βγάλει ρίζα και να γίνει άλλο δένδρο.",null
Ριγαλίδα,Τυφλοπόντικας,sing.F
Ριγανέλο,Τουρνέτο,sing.N
Ριγουάρδο,Συλλογισμός – περίσκεψη.,sing.N
Ριζαμοκόνερα,Ριζοβούνι,plur.N
Ρικεμέντο,Ανάποδα,sing.N
Ρικόρδο,Ενθύμιο,sing.N
Ρικόρσο,Προσφυγή,sing.N
Ριντό,Νυχτικό,sing.N
Ριουντίρω,Αποκρούω,null
Ριπίζω,"Πετάω κάτι, εκτοξεύω.",
Ριπίζω,Σκορπίζω.,
Ρισερτσιμέντο,Επανόρθωση – αποκατάσταση.,sing.N
Ρισκατσόν,Εξαγορά,sing.F
Ριφερτά,Απόδειξη – Λαχνός για κλήρωση με αντικείμενα.,sing.F
Ριφεστάρω,"Ασκώ βία , Εκτοξεύω κάτι.",
Ριό,Κρύο,sing.N
Ροβίνα,Ερείπιο,sing.F
Ροβινάτσα,Μπάζα,plur.N
Ρογγέλα,Κουβαρίστρα,sing.F
Ροδαμός,Βλαστός,sing.M
Ροζάδο,Ροζέ – Κοκκινωπό.,sing.N
Ροκέτο,Μακριά φούστα της γυναικείας παραδοσιακής στολής.,sing.N
Ροκέτο,Γυναικείο φουστάνι της παραδοσιακής στολής με πυκνές σούρες.,sing.N
Ρολάδες,Τρεξίματα,plur.M
Ρολίνα,"Το καζίνο της Κέρκυρας, εκεί που είναι τώρα το αρχαιολογικό μουσείο.",sing.F
Ρολογιέμαι,Αφουγκράζομαι (ακούω το ρολόι).,null
Ρομαντσίνα,"Κατσάδα, επίπληξη.",sing.F
Ρομπαβέκια,Αντίκες,plur.N
Ρομπαβίλα,Άχρηστα πράγματα.,plur.N
Ρονιά,Η απόσταση του κεραμιδιού από τον τοίχο.,sing.F
Ρονιά,Η αυλακιά των κεραμιδιών.,sing.F
Ροτόντα,Μικρός στρογγυλός ανοιχτός χώρος η στρογγυλό κτίσμα.,sing.F
Ρουβελοπαγίδα,Μια παγίδα για ρουβέλια αποτελούμενη από μια πέτρινη πλάκα στερεωμένη με ένα ξυλαράκι δεμένο με μια κλωστή.,sing.F
Ρουβελόπιτα,Πίτα από κοκκινολαίμηδες.,sing.F
Ρουβινάτσα,Μπάζα,plur.N
Ρουγκέτα,"Δρομάκι, καντούνι.",sing.F
Ρουκλί,Μικρό κεφαλόπουλο (ψάρι).,sing.N
Ρουμανέτες,Πούλιες πάνω σε «παγουνάτσα».,plur.M
Ρουμπαραρούμ,"Κάηκαν όλα, ανατινάχτηκαν.",null
Ρουσάλι,Πανηγύρι,sing.N
Ρουσιά,Η ερυθρά παιδική ασθένεια,sing.F
Ρουσπίγα,Παλιό Χρυσό Δουκάτο της Φλωρεντίας.,sing.F
Ρουσπίδα,Παλιό Χρυσό Δουκάτο της Φλωρεντίας.,sing.F
Ρουτί,Γυναικείο εσώρουχο.,sing.N
Ρουτσώνω,Πεισμώνω,null
Ρουχάζω,Ροχαλίζω,null
Ροφαίτης,Αέτωμα δίκλινης στέγης.,sing.M
Ροϊ,Δοχείο λαδιού.,
Ροϊ,Επιτραπέζιο δοχείο λαδιού.,sing.N
Ρούβελας,Κοκκινολαίμης.,sing.M
Ρούβελας,"Μικρό πουλάκι (ο γνωστός κοκκινολαίμης), έχει ένα κόκκινο σημάδι στο λαιμό.",sing.M
Ρούγα,Γειτονιά,sing.F
Ρούγκλο,Γεμάτο ως επάνω.,sing.N
Ρούγλα,Μύξα,sing.F
Ρούμπος,Μεγάλη μπουκιά.,sing.M
Ρούμπωμα,Μπούκωμα,sing.N
Ρούμπωσα,Γέμισα πολύ το στόμα μου από λαιμαργία.,null
Ρούπο,Το νερό που κατακάθεται από τις ελιές.,sing.N
Ρούσα,Κόκκινη,sing.F
Ρούτα (είναι),Νερουλό – Μαλακό.,
Ρούτσια (κάνει),"Πεισμώνει, κάνει μούτρα.",null
Ρούτσο,"Θύμος, ισχυρογνωμοσύνη.",sing.N
Ρούτσο,"Πείσμα, δυστροπία.",sing.N
Ρούτσουλα,Ροδέλα,sing.F
Ρούφουλας,Ανεμοστρόβιλος,sing.M
Ρόγκια,Βραχώδης λόφος.,sing.F
Ρόκα,Εργαλείο για την δημιουργία μάλλινης κλωστής.,sing.F
Ρόμπα,Ανακατεμένα πετρόψαρα.,null
Ρόμπα φατούρα,Κόστος υλικών και κατασκευής.,sing.F
Ρόνι,Τρέξιμο,sing.N
Ρόντα,Γυρίζω παντού.,sing.F
Ρόποση (δεν έμεινε),Δεν έμεινε τίποτα.,null
Ρότσουλα,Ροδέλα,sing.F
Σάισμα,Παλτό,sing.N
Σάκενα,Μεγάλο σακί για ελιές.,sing.F
Σάλπα,Ένα ψάρι που αλλού το λένε….,sing.F
Σάλσα,Μάλλινη φούστα της παραδοσιακής γυναικείας στολής.,sing.F
Σάλτζα,Χονδρή μάλλινη φούστα της παραδοσιακής στολής.,sing.F
Σάλτο,Πήδημα,sing.N
Σάντα λα μαρία,Το παιδικό παιχνίδι «Μακριά γαιδούρα».,sing.F
Σάρτζα,Γυναικείο φόρεμα,sing.F
Σάψαλο,Καταβεβλημένος – Γέρος.,sing.N
Σάϊκα,Καλά,null
Σέκο,Κτίσιμο χωρίς λάσπη,sing.N
Σέκος,Νεκρός.,sing.M
Σέλα,Η Βράκα της παραδοσιακής ανδρικής στολής.,sing.F
Σέμπρα,Η εργάτρια γης που συμμετείχε σε ομάδα.,sing.F
Σέντζο,Η Εντύπωση,sing.N
Σέριος,Σπουδαίος,sing.M
Σέσκλο,Ήμερο λάχανο.,sing.N
Σέσκουλο,Ήμερο λάχανο.,sing.N
Σέστο,Νοικοκυριό – τάξη.,sing.N
Σήσες,Σκουληκάκια άσπρα μικρά που βγαίνουν στα τρόφιμα.,plur.M
Σία Βόγα,Η κίνηση των κουπιών έτσι ώστε η βάρκα να κάνει στροφή επί τόπου (το ένα κουπί μπρος και το άλλο πίσω).,
Σίκλος,Κουβάς μεταλλικός,sing.M
Σίντα,Μαζί.,sing.F
Σίσκλος,Κουβάς.,sing.M
Σίτα,Κόσκινο.,sing.F
Σίχλωσα,Μισοχόρτασα.,null
Σαβούρο,Ένας τρόπος παστώματος και συντήρησης των ψαριών. Τα παλιά χρόνια το πουλούσαν στα μπακάλικα.,sing.N
Σαγιαδόρος,Σύρτης πόρτας.,sing.M
Σακάδα,Ενόχληση,sing.F
Σακάρω,Ενοχλώ,null
Σακολεβιάρικο,Είδος καϊκιού φορτηγού.,sing.N
Σαλάδο,Σαλάμι,sing.N
Σαλάκιασμα,Εντριβή,sing.N
Σαλάτες,Μαρούλια,plur.M
Σαλίτσο,Σανίδωμα ανηφορικό δίπλα στη σκάλα.,sing.N
Σαλίτσο,"Πλατύσκαλο, πεζούλι, δάπεδο.",sing.N
Σαλαήσω,Να φωνάξω.,null
Σαλακιάζω,Σαπίζω,null
Σαλαμιστράδο,Παστό,sing.N
Σαλβαρόμπα,Αποθήκη,sing.F
Σαλιέρα,Αλατιέρα,sing.F
Σαλούμι,Αλλαντικό,sing.N
Σαλτέρνω,Πηδάω,null
Σαλταλεόν,Σπαστό στήριγμα πατζουριών.,sing.N
Σαλταρέλο,"Μάνταλο, είδος σύρτη πόρτας.",sing.N
Σαλτσάδα,Λιθόστρωτο,sing.F
Σαλτσάδο,Λιθόστρωτο,sing.N
Σαμαροκάλυβο,Καλύβι σε σχήμα πυραμίδας από καλάμια.,sing.N
Σαμαροκάλυβο,Καλύβι σε σχέδιο σαμάρας.,sing.N
Σαμπέπερο,Γυαλόχαρτο,sing.N
Σαμπιέρος,Το ψάρι χριστόψαρο.,sing.M
Σαμπούκος,Κουφοξυλιά,sing.M
Σανπιέρος,Το χριστόψαρο. Ονομάστηκε έτσι από τον Άγιο Πέτρο που λένε ότι το έδωσε στο Χριστό για να το ευλογήσει και όταν το έπιασε έμειναν τα αποτυπώματα των δακτύλων του στο κεφάλι του ψαριού.,sing.M
Σαντέρλω,Πεταχτή,sing.F
Σαουνιά,Το σαγόνι.,sing.F
Σαργοπαππάς,Τά ψάρια χαρακίρες,sing.M
Σαργόντες,Αξιωματικός πλοίου,sing.M
Σαρτσάδα,Αυλή σπιτιού.,sing.F
Σαρτσίτσια,"Δοσοληψίες, επαφές.",plur.N
Σασίνος,Δολοφόνος,sing.M
Σαϊτιά,Δηλητηριώδες φίδι που πετάγεται όταν επιτίθεται.,sing.F
Σαύω,Δέρνω,null
Σβίδρα,Βίδρα – ενυδρίς.,sing.F
Σβίτσερο,Ελβετικό τυρί,sing.N
Σβιλάδες,Ραπίσματα αέρα.,plur.M
Σβουντσουρίζω,Πετάω.,null
Σγαράρω,Κάνω λάθος,null
Σγούμπος,Καμπούρης,sing.M
Σγούρος,Σβούρα.,sing.M
Σγόρνα,Υδρορροή.,sing.F
Σγώνω,Κοντεύω να φτάσω.,null
Σείρες,Το ψάρι Γοφάρι.,plur.M
Σεγκέτα,Κάθισμα με τρύπα στη μέση για αφόδευση.,sing.F
Σεγκούνι,Μάλλινο σακάκι γυναικείο μέχρι τη μέση της παραδοσιακής στολής.,sing.N
Σεκάρει (να),Να σπάσει.,null
Σεκρέτα,Τα ντουλάπια της κουζίνας.,plur.N
Σεκρέτο,Μυστικό,sing.N
Σεμπριά,Ομάδα εργατών γης.,sing.F
Σεμπριά,Αγροτικός συνεταιρισμός.,sing.F
Σεμπριά,Αγροτική Συμφωνία.,sing.F
Σενάτο,Συμβούλιο – Σύγκλητος,sing.N
Σεντάλι,Κάθισμα αποχωρητηρίου,sing.N
Σεντζίζιμο,Ο Εκατοστός,sing.N
Σεντζαφέδες,"Αναξιόπιστος, ψεύτης.",sing.M
Σεράγια,Αποθήκη,sing.F
Σεράγιο,Περιφραγμένος χώρος.,sing.N
Σεράγιο,«Κλειδί» Τοξοειδούς κατασκευής.,sing.N
Σερέσια,Παντόφλες.,plur.N
Σερατούρα,Κλειδαριά,sing.F
Σερβάρω,Παρατηρώ,null
Σερβίρω,Προσφέρω,null
Σερβίτσιο,Υπηρεσία,sing.N
Σερβιτσιάλι,Το εργαλείο που έκαναν το κλύσμα,sing.N
Σερενάδα,Βραδινό τραγούδι,sing.F
Σεστάδος,Νοικοκυρεμένος,sing.M
Σετάρω,"Ρίχνω, εκσφενδονίζω.",null
Σιάδι,Επίπεδο κομμάτι γης.,sing.N
Σιάνω,Διορθώνω.,null
Σιάρπα,Εσάρπα,sing.F
Σιάτικα,Ισχιαλγίες,plur.N
Σιένα,Καφεκίτρινη απόχρωση,sing.F
Σιέστα,Μεσημεριανός ύπνος,sing.F
Σιασμένος,Αρραβωνιασμένος.,sing.M
Σιγανταβόλτε,Ειδικό πριόνι για κυκλικό κόψιμο,sing.F
Σιγοντάρω,Συνοδεύω,null
Σιγουριτά,Ασφάλεια,sing.F
Σιδερόχορτο,Αγριολάχανο.,sing.N
Σιδερόχορτο,Το χόρτο σιδερίτης.,sing.N
Σιεμύρε (τοκάνει),Το κάνει ωραία.,null
Σικαλίδα,Μικρό πουλί με γκρίζα χρώματα που τρώει σύκα.,sing.F
Σικιστράρω,Δίδω μεσεγγύηση.,null
Σικουρατσιόν,Ασφάλεια - σιγουριά,sing.F
Σιλικουτιάζω,Ανακατεύω.,null
Σιλιμούργι,Το κατακάθι του λαδιού.,sing.N
Σιμπάω,Πιέζω-Ζουλάω.,null
Σιμπαγαδώνω,Καλμάρω – Καταπραϊνω.,null
Σινιάρω,Σημαδεύω,null
Σινιαρισμένος,Τέλεια ετοιμασμένος.,sing.M
Σινιώτικος,Χορός των Σινιών.,sing.M
Σιντζίλα,Σφραγίδα,sing.F
Σιντόρνου,Εκτός και,null
Σιούτικο,Κολοβό.,sing.N
Σιροκολέβαντο,Άνεμος ανατολικός προς βόρειο.,
Σιτί,Κόσκινο του καφέ.,sing.N
Σιόρ,Κύριος,sing.M
Σιόρα,Κυρία,sing.F
Σκάμουνα,Τα Μούρα.,plur.N
Σκάμπα,Μαθητική κοπάνα.,sing.F
Σκάνιο,Καρέκλα,sing.N
Σκάρδα,Σκελίδα,sing.F
Σκάρσο,Ελλειπές,sing.N
Σκάρφη,Φυτό με πολλή πικρή γεύση.,sing.F
Σκάτουλα,Κουτάκια σπίρτων,plur.N
Σκάτσα,Η βάση που στηρίζεται το κατάρτι του πλοίου.,sing.F
Σκένομαι,Σιχαίνομαι.,null
Σκέρος,Σύκο.,sing.M
Σκέρτσο,Νάζια τρελίτσες,sing.N
Σκήπι,Μικρός περιφραγμένος κήπος εντός του οικισμού.,sing.N
Σκίζα,Σκισμένο ξύλο για τη φωτιά.,sing.F
Σκίνα,Χοιρινή ωμοπλάτη,sing.F
Σκίτζο,Σχέδιο,sing.N
Σκίτσικο,Ανισόπλευρο τετράγωνο.,sing.N
Σκίφος,Πέτρινο δοχείο για τάισμα γουρουνιών,sing.M
Σκαβέντζο,Ρετάλι υφάσματος.,sing.N
Σκαβίνα,Μάλλινη κουβέρτα,sing.F
Σκαβεντζάρω,Κόβω πατρόν,null
Σκαδέρει (μη),Μην τύχει.,null
Σκαδέρω,Αχρηστεύω.,null
Σκαλέτα,Ψέμα,sing.F
Σκαλινάδα,Πέτρινη σκάλα δρόμου.,sing.F
Σκαλιώνω,Σκαλώνω.,null
Σκαλντίν,Μικρή θερμάστρα κάρβουνων γενικής χρήσεως,sing.N
Σκαλταλέτο,Μπρούτζινο μαγκάλι για την θέρμανση υπνοδωματίων,sing.N
Σκαλταμπάνιο,Θερμοσίφωνας ξύλων,sing.N
Σκαλταπιέντε,Μικρό μαγκάλι για τα πόδια,sing.F
Σκαμπάζω,Καταλαβαίνω.,null
Σκαμπέλο,"Κομοδίνο, σκαμνί",sing.N
Σκανιέλο,Μικρό πάρκο για παιδιά χωρίς πάτο και με ρόδες.,sing.N
Σκαντερό (τόχει),Τόχει χορτάσει.,null
Σκαπαμέντο,Φουγάρο,sing.N
Σκαρίκι,Αναγγελία,sing.N
Σκαραβανόξυλο,Ράμνος η αειθαλής.,sing.N
Σκαρβέλι,Μέρος από τον εξοπλισμό του γαιδάρου.,sing.N
Σκαρλετίνα,Ευλογιά (αρρώστια).,sing.F
Σκαρμίδα,Διχαλωτό σταντ για τα κουπιά.,sing.F
Σκαρμοί,Ξύλινα στηρίγματα κουπιών.,plur.M
Σκαρμοί,Τα ψάρια Λούτσοι.,plur.M
Σκαρμοφωλιές,Οι τρύπες που μπαίνουν οι σκαρμοί.,plur.M
Σκαρμούστο,Ρολό από κέρματα.,sing.N
Σκαρντάρομαι,Πειράζομαι,null
Σκαρπίνι,Είδος ανδρικού παπουτσιού,sing.N
Σκαρτζί,Το ζημιάρικο παιδί.,sing.N
Σκαρτσέλι,Κουζινίτσα έξω από το σπίτι.,sing.N
Σκαρτσιγόπιδο,Το ψάρι μικρή γόπα.,sing.N
Σκαρτσιμάς,Μικρό καραβιδάκι που το χρησιμοποιούν οι ψαράδες για δόλωμα.,sing.M
Σκαρτσιμούρμουρας,Θαλασσινό ίδιο με την αληθινή αλλά το σώμα μέσα.,sing.M
Σκαρτσουνόροκα,Βελόνα για κάλτσες.,sing.F
Σκαρτσούνι,Κάλτσα.,sing.N
Σκαρτσούνια,Κάλτσες,plur.N
Σκαρτσότσο,Ρολό κερμάτων,sing.N
Σκαρτότσα,Καραμέλες.,plur.N
Σκαρφίζομαι,Επινοώ.,null
Σκαρφολίθι,Ασβεστόλιθος.,sing.N
Σκασιά,"Πέσιμο ανθρώπου, θορυβώδες και εντυπωσιακό.",sing.F
Σκατζιά,"Ράφι, Ραφιέρα",sing.F
Σκαφώνι,Ξύλινο δοχείο για το πάτημα των σταφυλιών.,sing.N
Σκεπέτο,Ντουφέκι.,sing.N
Σκεπετιά,Πυροβολισμός,sing.F
Σκερτσάδος,Τρελιάρης,sing.M
Σκιάομαι,Φοβάμαι.,null
Σκινάρι,Σχοίνος.,sing.N
Σκιτσέτο,Σταγονόμετρο,sing.N
Σκιόκα,Καψούλια.,plur.N
Σκιόρμος,Άσχημος.,sing.M
Σκλέτζα,Ακίδα ξύλου αλλά και μικρό κομμάτι ξύλου για προσθήκη.,sing.F
Σκλήθρα,Ράτσα.,sing.F
Σκλήθρα,Μυτερό ξύλο που αποσπάστηκε με το χέρι από κορμό δένδρου.,sing.F
Σκλίθρα,Κλωνάρι σταφυλιού.,sing.F
Σκλαπίζω,Σκορπίζω.,null
Σκλείθρα,Το σπέρμα.,sing.F
Σκλεμπού,Το ψάρι Πεσκαντρίτσα.,sing.F
Σκομπονέρεται,Σηκώνεται,null
Σκοντρέτα,Σανίδες με φλοιό υπολείμματα πριονιστηρίου .,plur.N
Σκορδαλίδα,Αγριολάχανο.,sing.F
Σκορδομπώλης,Βραχύσωμος.,sing.M
Σκορδοστούμπι,Ξύλο – Εργαλείο της κουζίνας που έλιωναν το σκόρδο.,sing.N
Σκορπιδέλι,Μικρό ψάρι – Σκορπιός.,sing.N
Σκορσάρω,Τινάζομαι,null
Σκοτίτας,Σκοτοδίνη.,sing.M
Σκοτίτας,Αρρώστια πουλερικών.,sing.M
Σκουάρα,Γωνιά.,sing.F
Σκουάρα,Εργαλείο τεχνιτών.,sing.F
Σκουγέρι,Δηλητηριώδες και επιθετικό νερόφιδο.,sing.N
Σκουδάρω,Εισπράττω χρέος.,null
Σκουδαρόλια,Χρωστούμενα,plur.N
Σκουλουμπουρδιά,Τούμπα.,sing.F
Σκουμπιασμένο,Κακόμοιρο.,sing.N
Σκουμποθώνομαι,Σηκώνομαι και κάθομαι.,null
Σκουντράω,συγκρούομαι με κάτι,null
Σκουτέλα,"Λεκάνη κουζίνας, βαθειά πιατέλα",sing.F
Σκουτί,Ρούχο.,sing.N
Σκουτελί,Λεκανάκι.,sing.N
Σκουτζίκι,Δηλητηριώδες και επιθετικό νερόφιδο ίδιο με το Σκουγέρι και μάλλον πρόκειται για το ίδιο φίδι με άλλη ονομασία.,sing.N
Σκουτιά,Ρούχα.,plur.N
Σκουφέτο,Σκούφια και μτφ. το προφυλακτικό.,sing.N
Σκούβλο,Βούρτσα πατώματος.,sing.N
Σκούδο,Παλιό βενέτικο νόμισμα,sing.N
Σκούλλινα μπόλια,Λινή Πετσέτα,sing.F
Σκούλλινο,Ύφασμα φτιαγμένο από Σκουλί – Λινάρι.,sing.N
Σκούρμο,Ξερό.,sing.N
Σκούτζικας,Μεγαλόσωμη σαύρα.,sing.M
Σκρίνιο,Έπιπλο σαλονιού,sing.N
Σκρίτο,Έγγραφο,sing.N
Σκριτούρα,Εκκλησιαστικό έγγραφο.,sing.F
Σκροκαρίζω,Πυροδοτώ.,null
Σκρούμπο,Καρβουνιασμένο.,sing.N
Σκυλομπαρούφα,Μεγάλη ανοησία που ελέχθη.,sing.F
Σκυλομπαρούφα,Μεγάλος καυγάς – σκυλοκαυγάς.,sing.F
Σκόλες,Τα λάβαρα.,plur.M
Σκόλιαμπρα,Μαντάτα.,plur.N
Σκόντο,Έκπτωση,sing.N
Σκόντρα,Εναντίωση,sing.F
Σκόντρο αμπάρα,Ο σιδερένιος σύρτης που αμπάρωνε την πόρτα από μέσα.,null
Σκόρσα,Ξύλινο δοκάρι ακατέργαστο,sing.F
Σκόρσο,Απότομο σταμάτημα.,sing.N
Σκόρτσα,Αποκόμματα ξύλου,plur.N
Σκόρτσα,Επένδυση,sing.F
Σκόρτσα,Τα σανίδια πάνω στα οποία πατούν τα κεραμίδια.,plur.N
Σκύφος,Πέτρινο δοχείο ταίσματος ζώων.,sing.M
Σλόντζα,Κομμένη γωνία σιδήρου η ξύλου για ορθογώνια κατασκευή,sing.F
Σμάρι,Ζυμάρι.,sing.N
Σμούκιο,Χτύπημα - τρακάρισμα – δυνατή σύγκρουση.,sing.N
Σμπάρα,Μπάρα πόρτας,sing.F
Σμπάρο,"Πυροβολισμός, δυνατός και οξύς κρότος.",sing.N
Σμπάρο,Τουφεκιά – κρότος.,sing.N
Σμπήρος,Προδότης – ρουφιάνος.,sing.M
Σμπίρος,Προδότης.,sing.M
Σμπαράρω,Αμπαρώνω,null
Σμπιδίρω,Διώχνω.,null
Σμπούκιο,Σύγκρουση,sing.N
Σμπρέγο,Σύγκρουση Πολεμική.,sing.N
Σοβελάδο,Ανάγλυφο,sing.N
Σοβρακάρικος,Υπεύθυνος για την φόρτωση του πλοίου.,sing.M
Σοβραλόγο,Επί τόπου.,null
Σοδισφατσιό,Ικανοποίηση,sing.N
Σολέντες,Αυθάδης,sing.M
Σολέτα,Πέλμα κάλτσας,sing.F
Σολδιάτικο,Παροχή κτήματος που προέρχεται από εδαφονομή.,sing.N
Σολδιατοποίηση,Συμφωνία παροχής κτήματος προς καλλιέργεια με σολδιάτικα.,sing.F
Σολεβάρω,Οδηγώ πλοίο προς τον Ήλιο.,null
Σολιάρης,Ενοικιαστής χωραφιού.,sing.M
Σολιάτικα,Νοίκια χωραφιού.,plur.N
Σολιάτικο,Παροχή κτήματος που προέρχεται από εδαφονομή.,sing.N
Σολιάτικο,Ενοικιασμένο χωράφι.,sing.N
Σομετέρει,Ενδιαφέρει,null
Σομπλιάζει,Με βολεύει – Με εξυπηρετεί.,null
Σομπρέσο,Σίδερο σιδερώματος.,sing.N
Σονάρω,Παίζω μουσική.,null
Σονέτο,Φυσαρμόνικα,sing.N
Σορατσέλι,Ψευδοροφή,sing.N
Σοροκάδα,Καιρός με άνεμο Σιρόκο.,sing.F
Σορτίτα,Έξοδος,sing.F
Σοσεντσέρω,Υποστηρίζω,null
Σοσπέζος,Εκκρεμής,sing.M
Σοσπέτο,Υποψία,sing.N
Σοσπεσιόν,Αναστολή,sing.F
Σοσπετάρω,Υποψιάζομαι,null
Σοστισφατσιόν,Ικανοποίηση,sing.F
Σοστιφάρω,Ικανοποιώ,null
Σοτανέλα,Μισοφόρι,sing.F
Σοτοβέστα,Κομπινεζόν,sing.F
Σοτομπάνκο,"Κρυφά, κάτω από το τραπέζι",sing.N
Σοτονάτολα,Ο χώρος κάτω από τη Νάτολα.,sing.F
Σοτοπόρτιγο,Στοά κάτω από διαμπερή στοά εισόδου.,sing.N
Σοτοροκέτο,Εσωτερική φούστα.,sing.N
Σοτοσκάλα,Ο χώρος κάτω από τη σκάλα,sing.F
Σουβλολιά,Ράτσα ελαιοκάρπου με μακρόστενο σχήμα .,sing.F
Σουγέτο,Παλιάνθρωπος – Υποκείμενο,sing.N
Σουρλάτσο,Περίπατος.,sing.N
Σουρμπάω,Ρουφάω.,null
Σουρμπέτι,Κρασί με ζουμί χόρτων.,sing.N
Σουρουκάνι,Ακατάσχετη ροή υγρού.,sing.N
Σουρούπι,Υπνάκος.,sing.N
Σουρτού,Σετ Αλατοπιπεροθήκης και λαδόξυδου.,sing.F
Σουσουνίστρα,Αργοπορημένη.,sing.F
Σουσούμι,Ομοιότητα.,sing.N
Σουσούμια,Ωραία χαρακτηριστικά.,plur.N
Σουφραδέλι,Μικρός καναπές.,sing.N
Σοφίτα Αμπιτάντε,Κατοικήσιμη υποστεγή,sing.F
Σοφεγγιάζω,"Δοκιμάζω, εγκαινιάζω",null
Σοφράς,Καναπές,sing.M
Σοφρίτο,Τοπικό φαγητό με τηγανισμένες φέτες κρέατος και σάλτσα με τσιγαριστό κρεμμύδι,sing.N
Σοφριγάδα,Τηγανιτό,null
Σούβελο,Χαμένο.,sing.N
Σούγο,Σάλτσα η ζουμί φαγητού.,sing.N
Σούδα,Χαντάκι.,sing.F
Σούδιτος,Υπήκοος,sing.M
Σούζος,Όρθιος,sing.M
Σούκερας,Μεγάλο πρώιμο σύκο.,sing.M
Σούλου μπούρδου,Ανακάτεμα.,sing.N
Σούμα,Άθροισμα,sing.F
Σούμπιτο,Σύντομα.,sing.N
Σούμπιτος,Βιαστικός,sing.M
Σούρδου,Πήγαινε-έλα (έτσι το λένε στη Λευκίμμη).,null
Σούρωμα,Μούσκεμα.,sing.N
Σούσουρο,Κρυφόλογα.,sing.N
Σούτα,Γίδα χωρίς κέρατα.,sing.F
Σούχα,Κακή ποιότητα.,sing.F
Σπάος,Σπάγγος.,sing.M
Σπάρματσέτο,Είδος κεριού.,sing.N
